,T_source,T_shock,T_start,T_end,cat,T_source*,v_max_omni_body,v_average_omni_body,dst_min_omni_body,bx_average_omni_body,by_average_omni_body,bz_average_omni_body,temperature_omni_body
803,,,2010-05-21 07:00:00,2010-05-21 19:00:00,3,,466.0,437.26666666666665,-11.0,-2.6333333333333333,1.6600000000000001,0.25999999999999995,63277.46666666667
804,,,2010-05-22 12:00:00,2010-05-24 08:00:00,3,,393.0,363.93617021276594,-1.0,0.10425531914893621,2.7808510638297874,0.8340425531914892,29658.021276595744
805,2010-05-24 14:06:00,2010-05-28 02:58:00,2010-05-28 19:00:00,2010-05-29 17:00:00,13,,378.0,354.88,-85.0,-0.9800000000000004,-2.5359999999999996,-6.864,39567.12
806,,,2010-06-04 11:00:00,2010-06-05 16:00:00,3,,572.0,519.0,-28.0,1.7625,-1.6062500000000002,0.38749999999999996,81757.96875
807,,,2010-06-06 03:00:00,2010-06-06 18:00:00,3,,481.0,445.5,-20.0,1.8944444444444446,-1.5666666666666667,-0.6277777777777778,45992.555555555555
808,,,2010-06-07 02:00:00,2010-06-07 21:00:00,3,,453.0,402.45454545454544,-19.0,-3.1181818181818186,1.9545454545454548,-0.5681818181818181,48815.72727272727
809,,,2010-06-11 07:00:00,2010-06-11 13:00:00,3,,431.0,423.77777777777777,-6.0,2.2222222222222223,2.122222222222222,-0.6444444444444445,54898.333333333336
810,2010-06-16 06:35:00,2010-06-20 20:00:00,2010-06-21 06:00:00,2010-06-22 14:00:00,13,,403.0,362.1714285714286,-6.0,-0.38285714285714284,3.017142857142857,2.4057142857142857,24984.8
811,,2010-06-29 18:00:00,2010-06-30 06:00:00,2010-06-30 22:00:00,3,,683.0,647.2631578947369,-27.0,2.3947368421052633,-1.5421052631578949,0.02105263157894739,180290.15789473685
812,,,2010-07-23 12:00:00,2010-07-23 17:00:00,3,,407.0,391.625,1.0,-0.55,-8.075,1.4,41525.375
813,,,2010-07-23 21:00:00,2010-07-24 06:00:00,3,,383.0,374.1666666666667,2.0,-0.5666666666666667,-5.3,4.7,31525.0
814,,,2010-08-03 05:00:00,2010-08-03 17:00:00,3,,558.0,424.06666666666666,-13.0,2.0466666666666673,-3.420000000000001,-0.9933333333333334,39999.86666666667
815,2010-08-01 08:45:00,2010-08-03 17:41:00,2010-08-04 10:00:00,2010-08-05 00:00:00,13,,598.0,537.1176470588235,-66.0,-0.611764705882353,-3.864705882352941,-4.858823529411765,23356.176470588234
816,,,2010-09-08 11:00:00,2010-09-09 03:00:00,3,,430.0,389.1578947368421,-33.0,-2.8368421052631576,-0.06842105263157905,-1.263157894736842,36398.26315789474
817,,,2010-09-15 03:00:00,2010-09-16 02:00:00,3,,408.0,363.03846153846155,-23.0,-0.41153846153846163,-1.0692307692307692,2.696153846153846,37053.807692307695
818,,,2010-09-25 06:00:00,2010-09-26 06:00:00,3,,631.0,514.8518518518518,-16.0,1.796296296296296,-1.3148148148148149,-0.5222222222222223,88426.62962962964
819,,,2010-09-30 02:00:00,2010-09-30 18:00:00,3,,442.0,418.4736842105263,-12.0,-0.005263157894736963,-1.8421052631578945,0.16842105263157894,29106.63157894737
820,2010-10-26 02:00:00,2010-10-30 10:15:00,2010-10-31 05:00:00,2010-11-01 21:00:00,13,,376.0,342.6279069767442,-7.0,3.1139534883720925,-2.1953488372093033,4.4255813953488365,24272.25581395349
821,,2010-11-08 08:00:00,2010-11-08 14:00:00,2010-11-10 15:00:00,3,,364.0,313.13461538461536,-10.0,-2.3788461538461534,3.065384615384616,0.009615384615384578,43322.019230769234
822,,,2010-11-17 15:00:00,2010-11-18 06:00:00,3,,461.0,436.3333333333333,-9.0,4.855555555555556,-2.8333333333333335,-1.2833333333333334,58826.666666666664
823,,2010-11-27 13:00:00,2010-11-28 19:00:00,2010-11-29 20:00:00,3,,442.0,407.42857142857144,-17.0,-1.8750000000000004,3.221428571428571,0.10000000000000002,45596.75
824,,,2010-12-14 23:00:00,2010-12-16 04:00:00,3,,610.0,563.375,-22.0,2.928125,-1.209375,0.10937500000000001,159852.03125
825,,2010-12-25 14:00:00,2010-12-26 07:00:00,2010-12-26 15:00:00,3,,403.0,394.45454545454544,-10.0,-3.6090909090909093,1.5363636363636366,0.8272727272727273,83331.63636363637
826,,2010-12-28 03:00:00,2010-12-28 03:00:00,2010-12-28 15:00:00,1,,357.0,342.6,-50.0,-1.3,5.58,-1.26,26015.266666666666
827,,,2011-01-03 03:00:00,2011-01-03 10:00:00,3,,350.0,339.2,-3.0,4.6,-2.35,-0.95,25750.1
828,,2011-01-24 07:00:00,2011-01-24 10:00:00,2011-01-25 12:00:00,13,,396.0,353.2413793103448,-11.0,-2.6482758620689655,1.948275862068966,-1.8655172413793102,19955.55172413793
829,,,2011-01-30 07:00:00,2011-01-31 02:00:00,3,,289.0,278.8636363636364,-4.0,2.2454545454545456,2.672727272727273,1.7181818181818178,8484.954545454546
830,,2011-02-04 13:00:00,2011-02-04 13:00:00,2011-02-04 20:00:00,1,,471.0,413.3,-59.0,3.37,3.099999999999999,-2.08,84173.2
831,,,2011-02-07 04:00:00,2011-02-07 22:00:00,3,,481.0,455.85714285714283,-22.0,2.0047619047619047,-1.1285714285714288,0.00476190476190474,52978.857142857145
832,2011-02-15 02:36:00,2011-02-18 01:30:00,2011-02-18 19:00:00,2011-02-20 08:00:00,13,,603.0,473.975,-25.0,-7.102499999999999,-2.5674999999999994,-1.7525000000000002,73922.15
833,,,2011-02-21 14:00:00,2011-02-21 20:00:00,3,,422.0,396.8888888888889,-22.0,-1.1222222222222225,0.1111111111111111,-2.5444444444444443,36351.444444444445
834,2011-03-03 05:48:00,2011-03-06 03:31:00,2011-03-06 09:00:00,2011-03-08 06:00:00,1,,532.0,435.1666666666667,-23.0,0.68125,-3.947916666666666,1.1770833333333335,36437.958333333336
835,,2011-03-10 05:00:00,2011-03-11 03:00:00,2011-03-11 16:00:00,3,,433.0,394.8125,-83.0,2.58125,-2.6687499999999997,-5.549999999999999,82102.375
836,,,2011-03-12 05:00:00,2011-03-12 15:00:00,3,,550.0,532.3846153846154,-45.0,-4.523076923076923,2.6384615384615384,0.6923076923076923,131017.15384615384
837,2011-03-24 19:00:00,2011-03-29 16:02:00,2011-03-29 23:00:00,2011-03-31 04:00:00,13,,378.0,356.71875,-2.0,-3.9937500000000012,4.465625000000001,7.2124999999999995,20706.84375
838,,,2011-04-09 18:00:00,2011-04-10 02:00:00,3,,420.0,398.3636363636364,-18.0,3.727272727272727,-1.7363636363636366,0.8818181818181817,38509.27272727273
839,,,2011-04-23 02:00:00,2011-04-24 14:00:00,3,,428.0,398.1794871794872,-8.0,-1.5948717948717948,5.976923076923078,-0.25384615384615383,33923.38461538462
840,,,2011-05-04 01:00:00,2011-05-04 08:00:00,3,,571.0,544.1,-19.0,2.3600000000000003,-1.0,0.020000000000000007,70502.9
841,,,2011-05-11 04:00:00,2011-05-11 19:00:00,3,,390.0,374.6111111111111,-13.0,-2.761111111111111,-0.9055555555555554,-0.7166666666666666,48822.72222222222
842,,,2011-05-17 18:00:00,2011-05-18 04:00:00,3,,565.0,530.3076923076923,-12.0,-3.2153846153846155,0.4769230769230769,0.06153846153846154,114867.23076923077
843,2011-05-25 04:20:00,2011-05-28 01:00:00,2011-05-28 05:00:00,2011-05-28 21:00:00,1,,556.0,508.6842105263158,-91.0,1.9947368421052631,-4.378947368421053,-1.0631578947368419,79117.84210526316
844,,2011-05-27 04:00:00,2011-05-28 07:00:00,2011-05-28 22:00:00,3,,608.0,518.0,-91.0,1.7722222222222217,-3.9777777777777774,-1.2777777777777777,79827.05555555556
845,,,2011-05-30 18:00:00,2011-05-31 00:00:00,3,,589.0,570.8888888888889,-29.0,1.6111111111111112,-2.6333333333333333,0.5666666666666667,118867.22222222222
846,,,2011-06-01 19:00:00,2011-06-02 04:00:00,3,,521.0,494.75,-25.0,3.091666666666667,-2.0749999999999997,-1.2499999999999998,39309.166666666664
847,,,2011-06-03 23:00:00,2011-06-04 17:00:00,3,,395.0,356.3809523809524,-8.0,2.5952380952380953,-1.1476190476190475,0.480952380952381,16979.666666666668
848,2011-06-02 07:45:00,2011-06-04 20:45:00,2011-06-05 02:00:00,2011-06-05 19:00:00,13,,556.0,511.8,-39.0,-1.1400000000000001,0.4549999999999993,4.055,94382.15
849,,,2011-06-05 11:00:00,2011-06-05 17:00:00,3,,516.0,498.77777777777777,-38.0,-1.6888888888888889,5.3999999999999995,-1.6444444444444444,81207.66666666667
850,,,2011-06-05 21:00:00,2011-06-06 04:00:00,3,,500.0,477.4,-26.0,0.030000000000000027,0.35000000000000003,-0.3999999999999999,50812.2
851,,,2011-06-06 23:00:00,2011-06-08 00:00:00,3,,481.0,420.17857142857144,-28.0,3.642857142857143,-2.539285714285714,-0.9964285714285713,50093.03571428572
852,2011-06-14 06:10:00,2011-06-17 02:41:00,2011-06-17 05:00:00,2011-06-17 13:00:00,13,,545.0,489.54545454545456,1.0,-2.9909090909090907,4.8999999999999995,3.772727272727273,151540.54545454544
853,,,2011-06-22 02:00:00,2011-06-22 12:00:00,3,,460.0,437.0769230769231,-12.0,3.8,-2.7769230769230764,-1.8307692307692305,79673.30769230769
854,,2011-06-22 16:00:00,2011-06-23 17:00:00,2011-06-24 03:00:00,3,,634.0,610.1538461538462,-25.0,3.246153846153846,0.21538461538461545,-1.0769230769230766,129165.15384615384
855,,,2011-06-28 04:00:00,2011-06-29 12:00:00,3,,403.0,378.14285714285717,-1.0,-0.5685714285714285,-1.1714285714285715,2.0628571428571427,22157.628571428573
856,,2011-07-06 02:58:00,2011-07-06 17:00:00,2011-07-07 12:00:00,13,,376.0,361.27272727272725,-24.0,-0.15909090909090914,-3.772727272727273,-1.5999999999999999,22043.454545454544
857,,2011-07-14 12:00:00,2011-07-15 04:00:00,2011-07-16 15:00:00,13,,458.0,413.6842105263158,-11.0,-1.3710526315789473,2.421052631578948,1.1947368421052635,21453.21052631579
858,,,2011-08-03 22:00:00,2011-08-04 07:00:00,3,,368.0,352.6666666666667,0.0,1.025,-2.091666666666667,1.6333333333333335,20939.5
859,2011-08-02 06:36:00,2011-08-04 21:53:00,2011-08-05 05:00:00,2011-08-05 14:00:00,13,,430.0,419.5,-11.0,-3.4833333333333343,-0.9416666666666665,1.3499999999999999,60930.833333333336
860,2011-08-04 04:12:00,2011-08-05 17:51:00,2011-08-06 22:00:00,2011-08-07 22:00:00,13,,589.0,538.2592592592592,-54.0,-3.281481481481482,1.5666666666666667,-0.15185185185185185,54714.62962962963
861,,2011-09-08 10:00:00,2011-09-08 10:00:00,2011-09-09 12:00:00,1,,408.0,336.41379310344826,-2.0,0.23448275862068962,0.5448275862068964,0.31379310344827577,23400.48275862069
862,2011-09-06 23:05:00,2011-09-09 12:42:00,2011-09-10 03:00:00,2011-09-10 15:00:00,13,,514.0,488.3333333333333,-64.0,-0.7466666666666668,-6.073333333333334,0.7266666666666668,110787.73333333334
863,,2011-09-16 19:00:00,2011-09-16 19:00:00,2011-09-17 05:00:00,13,,482.0,408.6923076923077,-3.0,1.9538461538461538,-3.569230769230769,-0.26153846153846155,60804.307692307695
864,2011-09-13 22:10:00,2011-09-17 03:43:00,2011-09-17 14:00:00,2011-09-18 06:00:00,13,,534.0,447.1578947368421,-70.0,0.3052631578947368,4.536842105263159,4.510526315789474,42623.73684210526
865,,2011-09-18 10:00:00,2011-09-18 12:00:00,2011-09-18 21:00:00,13,,485.0,438.75,-23.0,1.9833333333333327,3.2500000000000004,1.5333333333333334,25277.916666666668
866,2011-09-19 06:00:00,2011-09-22 03:00:00,2011-09-22 15:00:00,2011-09-23 03:00:00,1,,391.0,382.73333333333335,-16.0,3.1399999999999992,-2.24,-1.1600000000000001,62175.73333333333
867,2011-09-24 12:48:00,2011-09-26 12:34:00,2011-09-26 20:00:00,2011-09-28 15:00:00,13,,704.0,571.9347826086956,-101.0,-3.3500000000000005,0.45434782608695673,-1.3108695652173912,139866.26086956522
868,2011-10-02 01:00:00,2011-10-05 07:36:00,2011-10-05 10:00:00,2011-10-05 22:00:00,13,,470.0,446.46666666666664,-42.0,2.1466666666666665,4.873333333333333,5.946666666666667,49397.0
869,,2011-10-06 12:00:00,2011-10-06 12:00:00,2011-10-06 23:00:00,13,,403.0,372.07142857142856,-12.0,4.749999999999999,5.364285714285715,5.1499999999999995,32908.57142857143
870,,2011-10-07 02:47:00,2011-10-07 02:00:00,2011-10-07 17:00:00,13,,387.0,377.94444444444446,-21.0,2.4444444444444446,-0.03333333333333322,-0.8777777777777778,21184.555555555555
871,,,2011-10-08 05:00:00,2011-10-08 14:00:00,3,,357.0,353.4166666666667,-4.0,3.4666666666666663,-0.55,-1.1666666666666667,21074.666666666668
872,,,2011-10-13 20:00:00,2011-10-14 03:00:00,3,,391.0,371.9,0.0,5.11,-3.6800000000000006,0.42000000000000004,32685.0
873,,2011-10-22 21:00:00,2011-10-22 21:00:00,2011-10-23 16:00:00,13,,316.0,301.8181818181818,4.0,-0.10454545454545455,-3.504545454545455,-1.5454545454545454,12565.5
874,2011-10-22 00:05:00,2011-10-24 18:31:00,2011-10-24 22:00:00,2011-10-25 16:00:00,13,,516.0,474.3809523809524,-132.0,0.5142857142857141,8.038095238095236,8.157142857142858,159676.85714285713
875,,,2011-10-29 01:00:00,2011-10-29 10:00:00,3,,318.0,292.0833333333333,-10.0,4.066666666666666,-1.8916666666666666,0.05833333333333338,14875.416666666666
876,2011-10-26 10:00:00,2011-10-30 10:01:00,2011-10-31 01:00:00,2011-10-31 15:00:00,13,,419.0,398.8235294117647,-12.0,-0.44117647058823506,-2.4058823529411764,-0.1294117647058824,42343.705882352944
